arm,target,split_seed,criterion,layer,probe,hg_kind,r2,within_r2,concordance,top1,regret_norm_mean,kendall_tau,val_score,n_params,date,phase,output_path
MDLM_anc,A_pertok,0,within_r2,6,P0_hi_hg,hg,0.2738708304355727,0.17299424815413134,0.6402222222222222,0.29,0.27057307751776744,0.28044444444444444,0.16746601508634296,1537,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P0_cheap+hi,hg,0.5342496953711298,0.5656999090513604,0.7788888888888889,0.435,0.14956649823211518,0.5577777777777777,0.5568348246162635,869,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P0_cheap+H,hg,0.5613193871959616,0.5828456474619359,0.7892222222222223,0.4766666666666667,0.13741679259514739,0.5784444444444443,0.5720639471854754,1637,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2_bilinear_r2,hg,0.4891428754006536,0.5091132324108831,0.7656666666666667,0.39666666666666667,0.1788701281255077,0.5313333333333332,0.5049109269249745,872,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2_bilinear_r4,hg,0.4132067568380473,0.45208391730122643,0.758,0.4116666666666667,0.175200431620237,0.5159999999999999,0.4692446425775394,1384,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2_bilinear_r8,hg,0.31976334099768255,0.3702275053776679,0.7382222222222222,0.37166666666666665,0.19710355753718672,0.47644444444444445,0.3685957080477551,2408,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2_bilinear_r16,hg,0.0684222822608157,0.12299120441891476,0.699,0.3416666666666667,0.22530700777349186,0.39799999999999996,0.1384657218790667,4456,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2_bilinear_r32,hg,-1.305534748296247,-1.4068475674834486,0.6353333333333333,0.28,0.2705920927891118,0.27066666666666667,-0.8259352381338183,8552,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2_bilinear_r64,hg,-6.482884467308937,-7.732064520284776,0.558,0.21666666666666667,0.3570436743225066,0.11599999999999999,-5.918222457742723,16744,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2_bilinear_best,hg,0.4891428754006536,0.5091132324108831,0.7656666666666667,0.39666666666666667,0.1788701281255077,0.5313333333333332,0.5049109269249745,872,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
