tag,group,value,n_rows,n_docs,n_states,A_task_mean,A_task_std,A_task_nonzero_frac,A_task_positive_frac,A_task_negative_frac,Q_reward_mean,V_reward_mean,A_pertok_mean,mask_ratio_mean
taskD,step,31,42,7,7,-0.020833333333333332,0.17233659156908837,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.6755952380952381,0.6964285714285714,-0.007719686339398669,0.5335761564118522
taskD,step,32,30,5,5,-0.016666666666666666,0.12801909579781012,0.16666666666666666,0.1,0.06666666666666667,0.7583333333333333,0.775,-0.0010084024669292071,0.5304059028625489
taskD,step,56,1488,248,248,-0.003528225806451613,0.22984110455505732,0.16666666666666666,0.0846774193548387,0.08198924731182795,0.5221774193548387,0.5257056451612904,-0.0099838521851713,0.40996833337891486
taskD,step,57,546,91,91,-0.012591575091575092,0.21567598782408004,0.1575091575091575,0.06593406593406594,0.09157509157509157,0.5904304029304029,0.603021978021978,-0.010175870095996445,0.41234007248511684
taskD,step,58,342,57,57,0.04422514619883041,0.2543652210571606,0.15789473684210525,0.11695906432748537,0.04093567251461988,0.4718567251461988,0.4276315789473684,-0.012390302707831972,0.39741292229869907
taskD,step,59,228,38,38,-0.01425438596491228,0.25014183034386883,0.11403508771929824,0.03508771929824561,0.07894736842105263,0.6140350877192983,0.6282894736842105,-0.006450162999794485,0.39355502865816416
taskD,step,60,222,37,37,-0.04617117117117117,0.2524808930019473,0.13963963963963963,0.04054054054054054,0.0990990990990991,0.5822072072072072,0.6283783783783784,-0.00802278822284525,0.3967949200320888
taskD,step,61,156,26,26,0.04567307692307692,0.27301385715422,0.19230769230769232,0.11538461538461539,0.07692307692307693,0.5120192307692307,0.46634615384615385,-0.00409474960154764,0.40201354599916017
taskD,step,62,132,22,22,-0.011363636363636364,0.16023667498740504,0.09848484848484848,0.022727272727272728,0.07575757575757576,0.5852272727272727,0.5965909090909091,-0.010543440245861076,0.39590454643422907
taskD,step,63,90,15,15,-0.002777777777777778,0.01842569327975222,0.022222222222222223,0.0,0.022222222222222223,0.7305555555555555,0.7333333333333333,-0.0054706787201414244,0.3966487189133962
taskD,step,64,216,36,36,-0.015625,0.19793950891576653,0.08796296296296297,0.037037037037037035,0.05092592592592592,0.5538194444444444,0.5694444444444444,-0.0024921828528466383,0.40263674325413173
taskD,step,88,1446,241,241,-0.013744813278008298,0.2101626960424099,0.10442600276625173,0.04910096818810512,0.05532503457814661,0.5267116182572614,0.5404564315352697,-0.01085688501413568,0.2842943366632422
taskD,step,89,498,83,83,-0.02208835341365462,0.20215097400225368,0.10240963855421686,0.04216867469879518,0.060240963855421686,0.42971887550200805,0.45180722891566266,-0.01481442095859648,0.27841455911297397
taskD,step,90,282,47,47,-0.0199468085106383,0.23013004496631326,0.10638297872340426,0.031914893617021274,0.07446808510638298,0.5545212765957447,0.574468085106383,-0.01295097747712418,0.2740210148882359
taskD,step,91,270,45,45,-0.010185185185185186,0.17013873141842045,0.08888888888888889,0.040740740740740744,0.04814814814814815,0.6592592592592592,0.6694444444444444,-0.009222261413351926,0.2717913382583194
taskD,step,92,228,38,38,0.008771929824561403,0.17460740599874083,0.10087719298245613,0.043859649122807015,0.05701754385964912,0.5416666666666666,0.5328947368421053,-0.010705201701033208,0.2733115942070359
taskD,step,93,186,31,31,0.008064516129032258,0.2454604322383922,0.0913978494623656,0.03763440860215054,0.053763440860215055,0.6532258064516129,0.6451612903225806,-0.008067398810457016,0.2627416594374564
taskD,step,94,132,22,22,-0.03787878787878788,0.17060178825588707,0.08333333333333333,0.015151515151515152,0.06818181818181818,0.6212121212121212,0.6590909090909091,-0.012902761625537355,0.2623576488007199
taskD,step,95,102,17,17,0.022058823529411766,0.21034210339673087,0.12745098039215685,0.058823529411764705,0.06862745098039216,0.6176470588235294,0.5955882352941176,-0.01260287288365879,0.26960743788410635
taskD,step,96,276,46,46,0.016757246376811596,0.15819260796764797,0.057971014492753624,0.043478260869565216,0.014492753623188406,0.6200181159420289,0.6032608695652174,-0.0032830325883127366,0.27143574538438214
taskD,step,120,1218,203,203,-0.01672824302134647,0.2081439935310511,0.09523809523809523,0.040229885057471264,0.055008210180623976,0.5485426929392446,0.5652709359605911,-0.015507170329629259,0.157327012255274
taskD,step,121,420,70,70,-0.01011904761904762,0.18270125268433796,0.05,0.01904761904761905,0.030952380952380953,0.4380952380952381,0.44821428571428573,-0.015240521931386196,0.148711823033435
taskD,step,122,294,49,49,-0.01870748299319728,0.15281773906381496,0.061224489795918366,0.023809523809523808,0.03741496598639456,0.4098639455782313,0.42857142857142855,-0.014551199430910992,0.14647555168794127
taskD,step,123,192,32,32,-0.029296875,0.16199167413862472,0.036458333333333336,0.0,0.036458333333333336,0.376953125,0.40625,-0.018577448742317593,0.14482238446362317
taskD,step,124,192,32,32,0.0026041666666666665,0.09284137223945776,0.026041666666666668,0.010416666666666666,0.015625,0.4244791666666667,0.421875,-0.012939227495819475,0.14247846510261297
taskD,step,125,180,30,30,-0.022916666666666665,0.21060222840965176,0.05555555555555555,0.016666666666666666,0.03888888888888889,0.5395833333333333,0.5625,-0.013511076352635125,0.13777632241447765
taskD,step,126,144,24,24,-0.0008680555555555555,0.010380434672831076,0.006944444444444444,0.0,0.006944444444444444,0.3324652777777778,0.3333333333333333,-0.013377916757817509,0.13793823091934124
taskD,step,127,36,6,6,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-0.008204717514233708,0.12735453123847643
taskD,step,128,744,124,124,0.0018481182795698926,0.046018694152625536,0.006720430107526882,0.002688172043010753,0.004032258064516129,0.785114247311828,0.7832661290322581,-0.0020868446736522044,0.1344311906084899
taskE_svamp,prompt_stratum,0,3264,136,544,-0.005591299019607843,0.08231617367688286,0.018075980392156864,0.005208333333333333,0.012867647058823529,0.8395373774509803,0.8451286764705882,-0.0021718625387323162,0.3612407449331573
taskE_svamp,prompt_stratum,1,1536,64,256,-0.00439453125,0.2358913957631621,0.22591145833333334,0.11328125,0.11263020833333333,0.54541015625,0.5498046875,-0.008677382943577418,0.36311342427507043
taskE_svamp,step,24,624,104,104,-0.021033653846153848,0.2261971651486039,0.20673076923076922,0.08333333333333333,0.1233974358974359,0.6736778846153846,0.6947115384615384,-0.005636433506706637,0.5809549557474943
taskE_svamp,step,25,234,39,39,-0.028311965811965812,0.155257688008933,0.1581196581196581,0.042735042735042736,0.11538461538461539,0.7954059829059829,0.8237179487179487,-0.0031412737214941483,0.5810762047767639
taskE_svamp,step,26,180,30,30,0.0006944444444444445,0.0963727772317371,0.027777777777777776,0.016666666666666666,0.011111111111111112,0.7881944444444444,0.7875,-0.00206428226452873,0.5778849283854167
taskE_svamp,step,27,102,17,17,0.004901960784313725,0.17843406591373817,0.20588235294117646,0.11764705882352941,0.08823529411764706,0.7990196078431373,0.7941176470588235,0.0005728004484719314,0.5865210224600399
taskE_svamp,step,28,30,5,5,-0.025,0.075,0.1,0.0,0.1,0.625,0.65,-0.00491634189869122,0.5705922603607178
taskE_svamp,step,29,12,2,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.973201667889953e-05,0.5579418540000916
taskE_svamp,step,30,18,3,3,-0.0625,0.2009093908540199,0.16666666666666666,0.0,0.16666666666666666,0.9375,1.0,-0.0010359337320551276,0.5595552523930868
taskE_svamp,step,56,456,76,76,-0.004111842105263158,0.23286292790630686,0.18421052631578946,0.10526315789473684,0.07894736842105263,0.6143092105263158,0.618421052631579,-0.006592931148356098,0.44057000585292516
taskE_svamp,step,57,78,13,13,0.02403846153846154,0.13285826671129872,0.15384615384615385,0.10256410256410256,0.05128205128205128,0.8125,0.7884615384615384,-0.007087716675041378,0.4395502438912025
taskE_svamp,step,58,72,12,12,-0.012152777777777778,0.17574212956316154,0.1111111111111111,0.027777777777777776,0.08333333333333333,0.7795138888888888,0.7916666666666666,-0.005154776165100985,0.4352109481890996
taskE_svamp,step,59,30,5,5,0.020833333333333332,0.20177166688005413,0.2,0.1,0.1,0.6708333333333333,0.65,-0.004831658398097715,0.42800347208976747
taskE_svamp,step,60,36,6,6,-0.04861111111111111,0.2845527951187205,0.19444444444444445,0.05555555555555555,0.1388888888888889,0.5972222222222222,0.6458333333333334,-0.010104486575680008,0.41631494959195453
taskE_svamp,step,61,18,3,3,0.0763888888888889,0.2398599449884798,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.4930555555555556,0.4166666666666667,-0.004849292493620144,0.4302145044008891
taskE_svamp,step,62,54,9,9,-0.0023148148148148147,0.07411023422954685,0.14814814814814814,0.09259259259259259,0.05555555555555555,0.9837962962962963,0.9861111111111112,-0.00946990179725436,0.41883040799034965
